source	repo	commit	license	upstream_path	stored_path	bytes	sha256
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5025401116950528.xlsx	files/apache-poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-5025401116950528.xlsx	5615	2471661d4400985eaaa1d3f41de214da43b84c8ace42b0a9e9cfb386d910509a
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/59736.xlsx	files/apache-poi/59736.xlsx	8752	5c7f47a903bfb7acdac72db42a9b2359ae4c48e77fa10a46c4233891458002ca
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/CustomXmlMappings-inverse-order.xlsx	files/apache-poi/CustomXmlMappings-inverse-order.xlsx	9915	acbba8c672a3977e24813f017c276986d06909760835a5a3a12899e2a8816c87
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/workbookProtection_workbook_structure_protected.xlsx	files/apache-poi/workbookProtection_workbook_structure_protected.xlsx	28727	fabdf603bc807c22ad2778d60f48b70864079554f1ed467cbb1acbe673ecb979
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/64750.xlsx	files/apache-poi/64750.xlsx	12921	7f6de70efff0e048bca78f0aa9ca5e40f6d42b3acdeb5aea3d9612ffd4a37307
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-6594557414080512.xlsx	files/apache-poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-6594557414080512.xlsx	1523	9313f4e25f326db2bc1ef5d4087db9e94267184df76b1bd4b6aff1e4d7171f7b
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/51222.xlsx	files/apache-poi/51222.xlsx	8543	46d53bfaed203e900bfcc734b3988c6136549e629a0ddcce9940d249877577e7
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/NewlineInFormulas.xlsx	files/apache-poi/NewlineInFormulas.xlsx	8935	3ec9c0c59a6e3f1ec66ca023c4a4ba0235c8047a41bf859fd223f352146637de
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/HeaderFooterComplexFormats.xlsx	files/apache-poi/HeaderFooterComplexFormats.xlsx	9543	70828c7e2e8b0068410009e7ab5054e475d1195ad6c6f4303e03732ab8f7ca9c
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/simple-monthly-budget.xlsx	files/apache-poi/simple-monthly-budget.xlsx	18700	cae00c6894b95743017aeded4186f15a12c2d8382d71760029df490d58197db6
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/TwoSheetsOneHidden.xlsx	files/apache-poi/TwoSheetsOneHidden.xlsx	7962	3e9749837cac5a19a7628d7e60c1a1c6d0ff7657f27fa7904b217b96e0dc534f
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/conditional_formatting_cell_is.xlsx	files/apache-poi/conditional_formatting_cell_is.xlsx	68571	7deed8f22cb3cf45733a94b975950b49f6ab89e37e891e62f0be8a0b07d9bc26
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/57362.xlsx	files/apache-poi/57362.xlsx	13283	9f06f767e5b665965e892e3213e8c529ad42b2b12d2cccf9594eb3ffe945a86e
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/45430.xlsx	files/apache-poi/45430.xlsx	7929	6c55370b676db1fa4c92e3215726f7f83f1d28807d95f7b44b5532186645aaae
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/59106.xlsx	files/apache-poi/59106.xlsx	10650	e89fb8a826a64aefd457b225d8fe875d26ecc5c08f979707cc7d7b92b4cac80d
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/Formatting.xlsx	files/apache-poi/Formatting.xlsx	8847	5a0aa7c36c53b22cd26e3eeb2ee49bf16f7e4101aafa8b1503a0778f4010ddbc
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/56420.xlsx	files/apache-poi/56420.xlsx	9201	4242d24c266c82004c039498f6b580b4c338c1b981e0f4cf4f6e692147fa5c5c
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/bug60858.xlsx	files/apache-poi/bug60858.xlsx	5213	4a5dcfb4fa3406cecf7bdb52d5794a0660ca691c9dfebe94f48818e6cc091d67
apache-poi	https://github.com/apache/poi	32a2220d127f52ed3fc2915c317ae6c0d50d1548	Apache-2.0	test-data/spreadsheet/workbookProtection-workbook_password_user_range-2010.xlsx	files/apache-poi/workbookProtection-workbook_password_user_range-2010.xlsx	11207	9b43ef4a09734c4c49f6f663da12d5bd7f4afcae9bfcc0cca87a09547dd0e1cc
